DealerPosition, SmallBlind, BigBlind, Money1, Money2, Cards
0, 5, 10, 500, 500, Qs,9h,9d,6c,6d,7d,Ts,2c,9c,4h,Kh,Ks,Ah,7c,7h,7s,Tc,Kd,5d,2h,8h,6h,2s,Td,3d,Ac,Qh,Jd,4c,3c,8s,Qd,Jh,5s,5c,Kc,Jc,5h,Th,Ad,6s,9s,2d,3s,As,4s,8d,8c,Js,3h,Qc,4d
0, 5, 10, 500, 500, 8d,Ts,4s,2h,9d,Ac,2c,6d,6h,Jc,Ah,Qc,3c,Jd,2s,As,5s,8h,Ad,9h,6s,8c,3d,Kh,5h,4c,Td,6c,Js,7h,7s,9c,Kd,Qh,5c,Qd,5d,Ks,7c,3h,9s,Th,7d,3s,4h,Kc,Qs,8s,Jh,4d,Tc,2d
0, 5, 10, 500, 500, 6c,2c,Ac,Qc,7d,Ad,3c,8s,8d,As,9c,Td,Kc,4d,5s,5c,8c,Th,8h,5h,Qh,6s,Ts,6h,3s,Jc,9s,Ks,Kd,2s,9h,Jh,Ah,6d,5d,7s,3h,Kh,2d,Qs,7h,Tc,2h,4s,Js,Jd,9d,Qd,4h,7c,3d,4c
0, 5, 10, 500, 500, Jh,6s,4d,5c,2c,9s,4s,8c,5d,Ac,9d,7h,8h,6c,Qc,4c,Ts,Kd,Jd,Ks,6d,Jc,9h,8d,2d,As,3h,3c,3d,7s,Ah,7d,6h,2s,9c,Js,Kc,7c,Tc,5s,4h,Ad,Qh,5h,Qd,Qs,3s,Td,Th,Kh,8s,2h
0, 5, 10, 500, 500, 3c,7d,Jh,Ts,Qh,5c,9c,4s,6c,6h,5d,Qc,Th,As,7s,4d,Jc,7h,9h,3h,Tc,2h,2d,Td,Ad,2c,5s,8d,Ks,Kh,6d,9s,Qs,4h,8h,5h,3s,Kc,2s,Ac,Ah,6s,8s,8c,Js,Jd,Kd,9d,Qd,4c,3d,7c
0, 5, 10, 500, 500, Ad,Jc,8h,6s,Qh,2d,Jh,8d,7s,4h,5c,2h,Js,3s,3c,Qs,6d,Kd,5d,Qc,4c,5s,As,5h,Kc,7h,6h,9h,4d,Ah,Jd,Ac,Tc,Ts,Th,Ks,9s,9c,Kh,3h,8c,Td,3d,9d,7d,Qd,8s,6c,7c,2c,4s,2s
0, 5, 10, 500, 500, 8c,Qc,5h,4h,Jh,Kh,3c,Th,2d,5d,Jc,9s,6h,7h,Kd,8h,5s,4d,2s,7s,2h,4s,Qd,As,3h,6s,Jd,Ac,9h,3s,Tc,Qh,8d,Kc,7c,Ad,3d,4c,Qs,7d,Td,Ks,9d,2c,6d,9c,Ts,8s,6c,5c,Ah,Js
0, 5, 10, 500, 500, As,5h,Jc,4h,Ah,Qh,7h,Ks,9s,Js,Qc,Tc,7c,Ad,Kc,Td,3h,4d,8c,Kh,9c,Qd,2h,9d,6s,Jd,5c,8s,3d,Qs,2d,4s,Th,7s,9h,6h,8d,3c,Jh,2c,Ac,Kd,2s,3s,5d,6d,8h,7d,4c,Ts,5s,6c
0, 5, 10, 500, 500, Ah,4h,2h,3h,Qs,7d,5h,Ks,Qd,Tc,8d,7h,8c,8s,3c,5c,2d,8h,9s,Qh,Kh,5d,Ac,Js,3d,6d,7s,2c,Th,4c,4d,3s,4s,7c,Kc,Ad,2s,9c,6s,Ts,6h,Qc,As,Jd,Jc,Td,9d,Jh,Kd,9h,6c,5s
0, 5, 10, 500, 500, 3c,Ah,As,7d,8s,2s,Kd,2c,Qc,Ks,2d,3s,8d,8c,Jd,6d,7h,8h,Kc,Ad,4d,Td,6h,7c,Kh,Qd,9s,Jh,Tc,2h,5d,4s,4c,Ac,Qs,Ts,Jc,5c,Th,9h,6s,7s,5s,9d,5h,9c,3d,Qh,Js,6c,4h,3h
